time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447850000	20.2799	11.1113	4.8609	1.42018	0.486905	radar	5996.97	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3141	11.3505	4.85903	1.44395	0.486269	lidar	20332.1	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2604	11.5966	4.77577	1.52137	0.572865	radar	5867.05	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3318	11.8369	4.78743	1.52551	0.545731	lidar	21304.9	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3578	12.0721	4.83206	1.52957	0.499098	radar	6091.23	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3421	12.3657	4.92496	1.56955	0.51504	lidar	21365.3	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2924	12.6025	4.86125	1.62821	0.572894	radar	6254.35	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3184	12.8397	4.84943	1.63935	0.553869	lidar	21995.9	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3072	13.0685	4.8201	1.66446	0.55394	radar	6552.1	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2735	13.2783	4.76763	1.69321	0.555387	lidar	21797.7	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2358	13.5123	4.77539	1.71887	0.547238	radar	6525.65	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2135	13.7744	4.81995	1.74096	0.541277	lidar	22724.9	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1591	13.9995	4.78984	1.77689	0.558516	radar	6717.25	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1018	14.2584	4.83748	1.80713	0.560787	lidar	22887.3	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0303	14.4869	4.83422	1.83841	0.562554	radar	6752.61	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9188	14.7466	4.90324	1.8832	0.58014	lidar	22847.4	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8532	14.9633	4.88238	1.89917	0.553877	radar	6790	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8254	15.1769	4.82486	1.90707	0.533091	lidar	23678.3	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6951	15.3836	4.76643	1.98308	0.631861	radar	7243.15	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6705	15.5646	4.65692	1.98919	0.605264	lidar	23920.9	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5804	15.7656	4.63723	2.01453	0.59594	radar	7105.95	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4742	15.9823	4.6554	2.04483	0.596352	lidar	23821.3	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3749	16.1885	4.66015	2.05981	0.563875	radar	7153.02	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2662	16.3654	4.61106	2.08959	0.565931	lidar	23789.8	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.151	16.5592	4.60062	2.11902	0.569145	radar	7366.24	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0161	16.7757	4.64827	2.14891	0.570317	lidar	24157.2	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8593	16.9679	4.65941	2.20915	0.637215	radar	7760.36	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6767	17.2142	4.79912	2.24551	0.640805	lidar	24303.6	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5765	17.417	4.77659	2.22813	0.545052	radar	7440.17	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3568	17.6161	4.86967	2.27632	0.565958	lidar	23805.3	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2203	17.8082	4.86002	2.27894	0.513947	radar	7445.26	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0906	17.9924	4.82894	2.29484	0.504127	lidar	24593.2	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9154	18.1462	4.80398	2.33874	0.53894	radar	7480.97	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7901	18.2828	4.702	2.35979	0.533692	lidar	24409.8	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6593	18.4615	4.67753	2.36679	0.505158	radar	7939.34	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4592	18.6489	4.75341	2.39498	0.507578	lidar	24404.8	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2801	18.7885	4.72997	2.4304	0.525717	radar	7564.07	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1215	18.9227	4.67633	2.45485	0.524239	lidar	24393.7	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9542	19.0931	4.6877	2.46679	0.502843	radar	8033.11	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7355	19.2105	4.69771	2.50743	0.518836	lidar	23867.4	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5439	19.3652	4.72446	2.5315	0.520989	radar	8050.44	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3121	19.5322	4.81962	2.55707	0.519521	lidar	24264.3	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0902	19.6144	4.79326	2.6084	0.557904	radar	7249.17	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8828	19.7599	4.82442	2.62861	0.549599	lidar	24265.9	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6964	19.883	4.77795	2.63345	0.502492	radar	7593.3	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4599	20.0404	4.86793	2.65085	0.493327	lidar	24157.8	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.244	20.1856	4.90095	2.66167	0.472649	radar	8138.63	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0596	20.314	4.86753	2.67348	0.460896	lidar	24268.2	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8282	20.3971	4.8675	2.71106	0.483421	radar	7568.57	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6135	20.5155	4.87557	2.72785	0.475751	lidar	23931.3	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3736	20.6047	4.90528	2.76383	0.50059	radar	7875.38	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1279	20.678	4.91895	2.79608	0.507863	lidar	23243.7	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8884	20.7509	4.93452	2.83113	0.527889	radar	7810.54	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6118	20.8157	4.99601	2.86552	0.535312	lidar	22848.4	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3608	20.8483	5.01317	2.91813	0.584781	radar	7629.85	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1183	20.8865	4.99791	2.95177	0.58958	lidar	22653.4	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8855	20.9457	4.98309	2.973	0.578643	radar	7856.01	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6957	20.9835	4.88532	2.99742	0.575978	lidar	22790.8	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4397	21.026	4.92098	3.02481	0.576229	radar	7802.98	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1941	21.0622	4.9294	3.04972	0.571955	lidar	22248.8	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9554	21.0821	4.92659	3.08074	0.579732	radar	7682.68	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7172	21.0503	4.89057	3.12538	0.597024	lidar	21402	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4702	21.0368	4.88978	3.16071	0.603291	radar	7329.09	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2604	21.0274	4.82797	3.19104	0.604989	lidar	21456.5	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0054	20.9892	4.84698	3.23027	0.614756	radar	7139.77	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8013	20.9486	4.77639	3.26767	0.623714	lidar	20848.7	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5558	20.9462	4.74426	3.27395	0.575689	radar	7383.27	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2653	20.9779	4.85749	3.27436	0.541997	lidar	20742.2	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0278	20.9589	4.84971	3.29382	0.53147	radar	7440.27	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
